Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:13180000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
13180000;1;01/09/2018;;1;1;169,615;64,137;79,509;1;13;1;1;1;;0;169,615;169,615;168,334;168,334;67,066;86,293;65,592;65,592;65,592;64,862;64,862;64,862;64,137;64,137;64,137;64,137;64,137;64,137;64,137;64,137;64,137;64,137;64,862;65,592;65,592;64,862;65,592;65,592;65,592;65,592;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
13180000;1;01/08/2018;;1;1;422,165;168,334;237,088;3;10;1;1;1;;0;398,364;413,415;422,165;409,082;396,241;394,124;402,631;400,494;276,566;168,334;172,194;172,194;170,902;170,902;170,258;169,615;169,615;169,615;170,258;170,902;168,974;170,258;172,843;174,797;177,422;176,107;174,144;172,194;170,902;170,902;233,326;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
13180000;1;01/07/2018;;1;1;255,628;188,157;220,439;1;14;3;3;3;;0;255,628;252,368;249,133;245,923;242,737;234,879;228,702;222,623;216,64;210,753;204,962;199,265;193,664;188,157;193,664;203,529;212,216;219,619;227,173;225,65;219,619;213,684;209,296;209,296;209,296;216,64;224,133;231,778;231,778;225,65;215,159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;
13180000;1;01/06/2018;;1;1;598,593;122,767;268,89;7;30;1;1;1;;0;322,336;277,424;311,193;355,174;387,815;525,656;598,593;595,891;503,393;419,967;363,176;349,242;298,485;245,923;213,684;192,278;177,422;170,902;169,615;164,525;162,015;159,527;154,619;149,802;142,745;138,151;135,887;131,426;127,053;122,767;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
13180000;1;01/05/2018;;1;1;2027,287;159,527;588,028;16;31;1;1;1;;0;373,326;347,278;309,359;250,748;215,159;213,684;176,107;180,071;249,133;579,833;700,711;637,178;789,969;1391,963;2021,729;2027,287;1088,9;806;767,844;677,195;700,711;543,366;493,681;577,181;525,656;409,082;335,63;274,002;221,118;185,438;159,527;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
13180000;1;01/04/2018;;1;1;984,158;186,794;451,601;2;24;1;1;1;;0;958,946;984,158;543,366;709,653;835,338;677,195;730,776;825,49;540,815;433,254;329,893;263,887;287,841;413,415;431,022;437,737;417,777;318,596;349,242;331,799;262,223;262,223;193,664;186,794;280,871;287,841;274,002;329,893;326,102;324,216;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
13180000;1;01/03/2018;;1;1;3230,109;503,393;1033,235;29;16;2;2;2;;0;1081,211;1131,771;1108,266;1151,582;832,047;774,127;721,678;685,958;651,304;642,807;892,453;718,661;628,79;569,271;520,659;503,393;515,691;548,49;637,178;767,844;984,158;944,713;984,158;683,03;770,982;895,882;2077,721;3028,811;3230,109;2227,554;1119,982;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;
13180000;1;01/02/2018;;1;1;3157,338;349,242;1350,535;18;4;1;1;1;;0;409,082;383,642;357,165;349,242;435,492;654,152;948,259;838,635;724,704;645,632;671,39;969,704;1640,013;1649,846;2134,62;2979,679;3135,697;3157,338;3157,338;2767,774;1835,449;1163,566;1020,848;927,097;1175,623;1343,47;1195,883;1143,633;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
13180000;1;01/01/2018;;1;1;1811,933;351,213;895,224;20;2;1;1;1;;0;365,192;351,213;498,523;490,067;499,738;474,59;460,564;435,492;523,154;951,814;1270,517;1427,87;1398,654;1183,703;1204,044;1187,754;937,643;1471,213;1791,18;1811,933;1468,913;1183,703;1077,378;872,039;764,713;709,653;685,958;659,868;601,302;530,68;462,884;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
13180000;1;01/12/2017;;1;1;1714,612;396,241;921,67;9;31;1;1;1;;0;774,127;897,6;780,441;677,195;598,593;1249,517;1548,322;1654,776;1714,612;1515,325;1039,491;1013,447;1167,577;1002,404;767,844;736,879;764,713;861,937;700,711;614,955;680,109;1249,517;1550,695;1167,577;809,229;648,464;577,181;518,171;467,546;426,58;396,241;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
